company,company_url,amount_usd_millions,amount_reported_millions,reported_currency,stage,lead_investor,announced,source,source_url,also_reported_by
Igloo,https://insurtechdaily.io/company/igloo/,5,5,USD,,,2026-01-26,FinTech Global,https://news.google.com/rss/articles/CBMigwFBVV95cUxQNmNYNmZCNENLRjlNdlhldzlhUGRFTzdNT2gzRjl6ZHNXWlNRTi1PbngzUTBpdVlCUXloUzdCdXUxamY5cEFSSU5EN0RwSkhCYm5QTXgwN0d6RUdObWFGY09TRkZ3d0U5ME5VcE5sRTFEbE5ySUFnZlQzSkstQktNU0VFbw?oc=5,
Armilla AI,https://insurtechdaily.io/company/armilla-ai/,25,25,USD,,,2026-01-23,FinTech Global,https://news.google.com/rss/articles/CBMikgFBVV95cUxPYlF2Z0lWLWt6QTVqOGtaRU1NQXVyQmFYY0dMQkpMbXFpY0E2UFZfdzNmeG9XRzF1QktXeXJXay1pWHFMUU53XzFvR1RMdlJaVlBXTFZSbXM0dktMNmJPUGRrVzYzd0xPd05JWmlhUnVoOE1KNVlUb0xHVnh4Y3JQeFJqNjhkVVNiVE84TWRtLVNoQQ?oc=5,
InsuranceDekho,https://insurtechdaily.io/company/insurancedekho/,4.62,385,INR,,,2026-01-19,MediaNama,https://news.google.com/rss/articles/CBMitAFBVV95cUxNakNYNmR4cWVUTkRZZEI4YldqaTdpdXhVSjJTME5IdWE5eDZ5YjdDTm96eWxvRWNJNFUxdTdGcUktYVVxNkx5b0dsU3pZQUVvcjNrVXR2dVo3b2Y5dEUxU0dJU19uUzh1YlZMclhYUGRBSE0wYTlGdnNfZ2ttemhnQTRlYjAxTTRtU1VvRzE1bDMzOVZRRmo2ekVXdjBxZW5OQVNJcWY0cXg0YjNMWTk2dGxxN3Y?oc=5,
WithCoverage,https://insurtechdaily.io/company/withcoverage/,42,42,USD,Series B,,2026-01-13,Insurance Nerds,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPbFg0UWFnUFI1QnFmdGFMd2VYTmlYRk5aTk1VTDZpeFpYbkt5UTBTd0djQkoxbE9iTjNtbjQ1NHdMR3A4UnFLb1g3NHZPcnJRZlI2T0JqQm1vdTdTb09qT29MbTBJUktOWnFvdjdTR1B2TmF1TXlNX1hDRHhDY1NyVDk5WVJVTFZOYWx2WFpMRTBoUjE2Y042R3FkOE02cllNRXZjNHhMcVhLQdIBugFBVV95cUxQaVBXWVZac3VDTzlUQ1dDb3dqU29TSVZjYWVNYjNHUkJyZWpTcXZJUnpHV0t2UFMtdlRSQlFNVUJXbDNLbVJRNkVianNIbmNtajA4NnRodkpGOXE1dFNNaWJ1R1I4aEc0SFZ1Wm9kdmt0NTJOUDJpeHd1eE1hTnFGMGF3aEZiSk1OYzNfS2ZZRHd0Zk9OM3hhSGdWcnBjNkFVR25ZXy1JWGFPYlZRYnBBdHViSDhoLUxaV1E?oc=5,
Corgi,https://insurtechdaily.io/company/corgi/,108,108,USD,,,2026-01-08,Axios,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNNHl5X1VtcU0tTWZ6V0VkT1Fqbk5haUN2ZURtalc4RUExMjFWcDIySWd1VWloTVBhUzhrTWU5Q0RTejRLNUk4cDE0UWljeVNEbHdBYndRWnFsdmtvSm1tZTFjRHhxSG8wVVpOYmk1V1ZwNmd5T1RuRkZpMjdsZW1vdXYwWC0wUy1aaG5BWVJNSVJzVFVDQ0psT3Z6SGltMEQ1RmJ5SmhadE1ydw?oc=5,FinTech Global; Reinsurance News; Yahoo Finance
Naked,https://insurtechdaily.io/company/naked/,38,38,USD,Series B,,2025-12-25,Tech In Africa,https://news.google.com/rss/articles/CBMijAFBVV95cUxPQktWSWtCTWNxYnM1LXlXZF9Wbk55ZGhjTDRWU3ROQ1Q2R3ppUHBvY0xIaVg1a1ZUU3JLQ1VROEZlUWR0dThpNUxsQjlINjZtWnFDRmZ0OGNSWGNUdVVVbmJVblg4MmdYTXk4ODh6bTBudXg0cXMzc3J2cUh3S0xOZnEtcEx3dmN4eUtVNA?oc=5,
Nirvana,https://insurtechdaily.io/company/nirvana/,100,100,USD,Series D,,2025-12-18,Crunchbase News,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOMnpTS1Y4SDJoQ0ZDRXRaSmxvYkkzWi1POWRIOUhUdzVPTDRRdmNvR3lJeXlwSWdlZEk1bmc3M01nWVBJQ0tjSEwtQVNQZnZvTkRPTlVGbklzdEx6S2thaDJ6ZWdqaUMtN1gzVzhFS0hZVTY5VzdSSEwzM3FOMGlkS1lTLVBFOVhVNlFn?oc=5,Beinsure; FreightWaves
Maximum Information,https://insurtechdaily.io/company/maximum-information/,2.921,2.3,GBP,Seed,Insurtech Gateway,2025-12-17,Reinsurance News,https://news.google.com/rss/articles/CBMiogFBVV95cUxNbzlpVFNPa3BZbkJOMGRhVHY0TlFEdy1HVFZncFoyZDd6UXhKVkprb0x1UGppYl91bGtuSWEwcnVud3hmTzhib2xPaGxoTUVyT0kydG1RUEtPNTl6MERVRy1iUGZseUgxVno3YnhnRHFlaWJ4cjRRUmNBeGViYi1TZERQZTF3TV8wdktvMU5vUkxodFMzR2RJVHhUbkZCbW16X3c?oc=5,
Parametrix,https://insurtechdaily.io/company/parametrix/,27,27,USD,Series B,,2025-12-09,Reinsurance News,https://news.google.com/rss/articles/CBMirwFBVV95cUxOTEd6aWZVblVlOVpqTUdsTFRRNjZRbTROQWdsdWJMMHJPdFU4YjNFNEd1cVFreHdha1EyMGlwUkZIVmJtcXR4Z0RvMXBqcjdsM2xGaUNsUFl0dDJoT0dhTW5iUm5IYXN1d29UdTViYkxUa2JURlk3VC1QZW1PQUgzanFfQXQ4NElnUzh0d1VHWVlxVFp2bUl2WmJIY0xhdjZvZzNkYUdTNU5DMG9zZnNB?oc=5,calcalistech.com
Angle Health,https://insurtechdaily.io/company/angle-health/,134,134,USD,,,2025-12-08,MedCity News,https://news.google.com/rss/articles/CBMiY0FVX3lxTFBReEpJcl9kbU1lQmF3aWlBeDNvMFZIS0FQVGFNaXdHdTgtOG5UbXBtTHdwSF9QWnU5bDJaeGgtQzhKU2xCWnYxU0twRzRQQXZOdmZINGREWEstSEdMS2RDR0t0WQ?oc=5,
